"","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","lambda","alpha","rmse","trees"
"384",0.3,3,3,0.5,0.5,10,0.01,1,26940.7509766,181
"385",0.3,3,3,0.5,0.5,1000,0.01,1,26940.7509766,181
"386",0.3,3,3,0.5,0.5,0,0.01,0.1,26940.7695312,181
"387",0.3,3,3,0.5,0.5,1000,0.01,0.1,26940.7695312,181
"388",0.3,3,3,0.5,0.5,1,0.01,0.1,26940.7697265,181
"389",0.3,3,3,0.5,0.5,10,0.01,0.1,26940.7697265,181
"390",0.3,3,3,0.5,0.5,100,0.01,0.1,26940.7697265,181
"391",0.3,3,3,0.5,0.5,0,0.01,0,26940.774414,181
"392",0.3,3,3,0.5,0.5,1,0.01,0,26940.774414,181
"393",0.3,3,3,0.5,0.5,100,0.01,0,26940.774414,181
"394",0.3,3,3,0.5,0.5,1000,0.01,0,26940.774414,181
"395",0.3,3,3,0.5,0.5,10,0.01,0,26940.7746093,181
"396",0.3,3,3,0.5,0.5,0,0.01,0.01,26945.8998046,181
"397",0.3,3,3,0.5,0.5,1,0.01,0.01,26945.8998046,181
"398",0.3,3,3,0.5,0.5,10,0.01,0.01,26945.8998046,181
"399",0.3,3,3,0.5,0.5,100,0.01,0.01,26945.8998046,181
"400",0.3,3,3,0.5,0.5,1000,0.01,0.01,26945.8998046,181
"401",0.3,3,3,0.5,0.5,0,0,1,26970.7019531,151
"402",0.3,3,3,0.5,0.5,1,0,1,26970.7019531,151
"403",0.3,3,3,0.5,0.5,10,0,1,26970.7019531,151
"404",0.3,3,3,0.5,0.5,100,0,1,26970.7019531,151
"405",0.3,3,3,0.5,0.5,1000,0,1,26970.7019531,151
"406",0.3,3,3,0.5,0.5,0,0,0.1,26970.7152344,151
"407",0.3,3,3,0.5,0.5,1,0,0.1,26970.7152344,151
"408",0.3,3,3,0.5,0.5,10,0,0.1,26970.7152344,151
"409",0.3,3,3,0.5,0.5,100,0,0.1,26970.7152344,151
"410",0.3,3,3,0.5,0.5,1000,0,0.1,26970.7152344,151
"411",0.3,3,3,0.5,0.5,0,0,0.01,26970.7175781,151
"412",0.3,3,3,0.5,0.5,100,0,0.01,26970.7175781,151
"413",0.3,3,3,0.5,0.5,1000,0,0.01,26970.7175781,151
"414",0.3,3,3,0.5,0.5,1,0,0.01,26970.7177734,151
"415",0.3,3,3,0.5,0.5,10,0,0.01,26970.7177734,151
"416",0.3,3,3,0.5,0.5,0,0,0,26970.7179689,151
"417",0.3,3,3,0.5,0.5,1,0,0,26970.7179689,151
"418",0.3,3,3,0.5,0.5,10,0,0,26970.7179689,151
"419",0.3,3,3,0.5,0.5,100,0,0,26970.7179689,151
"420",0.3,3,3,0.5,0.5,1000,0,0,26970.7181642,151
"421",0.3,3,3,0.5,0.5,1,0.01,100,27010.4830078,118
"422",0.3,3,3,0.5,0.5,10,0.01,100,27010.4830078,118
"423",0.3,3,3,0.5,0.5,1000,0.01,100,27010.4830078,118
"424",0.3,3,3,0.5,0.5,0,0.01,100,27010.4832031,118
"425",0.3,3,3,0.5,0.5,100,0.01,100,27010.4833984,118
"426",0.3,3,3,0.5,0.5,0,1,0.1,27025.8292968,314
"427",0.3,3,3,0.5,0.5,1,1,0.1,27025.8292968,314
"428",0.3,3,3,0.5,0.5,10,1,0.1,27025.8292968,314
"429",0.3,3,3,0.5,0.5,100,1,0.1,27025.8292968,314
"430",0.3,3,3,0.5,0.5,1000,1,0.1,27025.8292968,314
"431",0.3,3,3,0.5,0.5,0,1,0.01,27025.83125,314
"432",0.3,3,3,0.5,0.5,1,1,0.01,27025.83125,314
"433",0.3,3,3,0.5,0.5,10,1,0.01,27025.83125,314
"434",0.3,3,3,0.5,0.5,100,1,0.01,27025.83125,314
"435",0.3,3,3,0.5,0.5,1000,1,0.01,27025.83125,314
"436",0.3,3,3,0.5,0.5,0,1,0,27025.8330078,314
"437",0.3,3,3,0.5,0.5,1,1,0,27025.8330078,314
"438",0.3,3,3,0.5,0.5,10,1,0,27025.8330078,314
"439",0.3,3,3,0.5,0.5,100,1,0,27025.8330078,314
"440",0.3,3,3,0.5,0.5,1000,1,0,27025.8330078,314
"441",0.3,3,3,0.5,0.5,0,1,1,27072.0527343,314
"442",0.3,3,3,0.5,0.5,1,1,1,27072.0527343,314
"443",0.3,3,3,0.5,0.5,10,1,1,27072.0527343,314
"444",0.3,3,3,0.5,0.5,100,1,1,27072.0527343,314
"445",0.3,3,3,0.5,0.5,1000,1,1,27072.0527343,314
"446",0.3,3,3,0.5,0.5,0,1,100,27079.9330079,223
"447",0.3,3,3,0.5,0.5,1,1,100,27079.9332032,223
"448",0.3,3,3,0.5,0.5,10,1,100,27079.9332032,223
"449",0.3,3,3,0.5,0.5,100,1,100,27079.9332032,223
"450",0.3,3,3,0.5,0.5,1000,1,100,27079.9332032,223
"451",0.3,3,3,0.5,0.5,1000,1,1000,27211.2515624,198
"452",0.3,3,3,0.5,0.5,0,1,1000,27211.2517577,198
"453",0.3,3,3,0.5,0.5,10,1,1000,27211.2517577,198
"454",0.3,3,3,0.5,0.5,100,1,1000,27211.2517577,198
"455",0.3,3,3,0.5,0.5,1,1,1000,27211.251953,198
"456",0.01,3,3,0.5,0.5,0,1000,0.1,29568.3398439,4000
"457",0.01,3,3,0.5,0.5,100,1000,0.1,29568.3398439,4000
"458",0.01,3,3,0.5,0.5,0,1000,0,29568.3400392,4000
"459",0.01,3,3,0.5,0.5,1,1000,0,29568.3400392,4000
"460",0.01,3,3,0.5,0.5,1,1000,0.01,29568.3400392,4000
"461",0.01,3,3,0.5,0.5,1,1000,0.1,29568.3400392,4000
"462",0.01,3,3,0.5,0.5,10,1000,0.1,29568.3400392,4000
"463",0.01,3,3,0.5,0.5,10,1000,0,29568.3402345,4000
"464",0.01,3,3,0.5,0.5,100,1000,0,29568.3402345,4000
"465",0.01,3,3,0.5,0.5,0,1000,0.01,29568.3402345,4000
"466",0.01,3,3,0.5,0.5,10,1000,0.01,29568.3402345,4000
"467",0.01,3,3,0.5,0.5,100,1000,0.01,29568.3402345,4000
"468",0.01,3,3,0.5,0.5,0,1000,1,29568.3416017,4000
"469",0.01,3,3,0.5,0.5,10,1000,1,29568.3416017,4000
"470",0.01,3,3,0.5,0.5,1,1000,1,29568.341797,4000
"471",0.01,3,3,0.5,0.5,100,1000,1,29568.3421876,4000
"472",0.01,3,3,0.5,0.5,1000,1000,0.1,29568.686133,4000
"473",0.01,3,3,0.5,0.5,1000,1000,0,29568.6865236,4000
"474",0.01,3,3,0.5,0.5,1000,1000,0.01,29568.6865236,4000
"475",0.01,3,3,0.5,0.5,1000,1000,1,29568.6880861,4000
"476",0.01,3,3,0.5,0.5,0,1000,100,29568.978711,4000
"477",0.01,3,3,0.5,0.5,10,1000,100,29568.978711,4000
"478",0.01,3,3,0.5,0.5,1,1000,100,29568.9789063,4000
"479",0.01,3,3,0.5,0.5,100,1000,100,29568.9789063,4000
"480",0.01,3,3,0.5,0.5,1000,1000,100,29568.9789063,4000
"481",0.01,3,3,0.5,0.5,10,1000,1000,29571.7099608,4000
"482",0.01,3,3,0.5,0.5,100,1000,1000,29571.7099608,4000
"483",0.01,3,3,0.5,0.5,0,1000,1000,29571.7101562,4000
"484",0.01,3,3,0.5,0.5,1000,1000,1000,29571.7101562,4000
"485",0.01,3,3,0.5,0.5,1,1000,1000,29571.7103515,4000
"486",0.01,3,3,0.5,0.5,0,1000,10000,29588.2330078,4000
"487",0.01,3,3,0.5,0.5,1,1000,10000,29588.2330078,4000
"488",0.01,3,3,0.5,0.5,10,1000,10000,29588.2330078,4000
"489",0.01,3,3,0.5,0.5,100,1000,10000,29588.2330078,4000
"490",0.01,3,3,0.5,0.5,1000,1000,10000,29588.2330078,4000
"491",0.01,3,3,0.5,0.5,0,10000,0.1,60831.2105467,4000
"492",0.01,3,3,0.5,0.5,1,10000,0.1,60831.2105467,4000
"493",0.01,3,3,0.5,0.5,10,10000,0.1,60831.2105467,4000
"494",0.01,3,3,0.5,0.5,100,10000,0,60831.2109373,4000
"495",0.01,3,3,0.5,0.5,1000,10000,0,60831.2109373,4000
"496",0.01,3,3,0.5,0.5,0,10000,0.01,60831.2109373,4000
"497",0.01,3,3,0.5,0.5,1000,10000,0.01,60831.2109373,4000
"498",0.01,3,3,0.5,0.5,0,10000,0,60831.2113279,4000
"499",0.01,3,3,0.5,0.5,10,10000,0,60831.2113279,4000
"500",0.01,3,3,0.5,0.5,10,10000,0.01,60831.2113279,4000
"501",0.01,3,3,0.5,0.5,100,10000,0.01,60831.2113279,4000
"502",0.01,3,3,0.5,0.5,100,10000,0.1,60831.2113279,4000
"503",0.01,3,3,0.5,0.5,1,10000,0,60831.2117185,4000
"504",0.01,3,3,0.5,0.5,1000,10000,0.1,60831.2117185,4000
"505",0.01,3,3,0.5,0.5,1,10000,0.01,60831.2121091,4000
"506",0.01,3,3,0.5,0.5,10,10000,1,60831.2132811,4000
"507",0.01,3,3,0.5,0.5,1000,10000,1,60831.2136716,4000
"508",0.01,3,3,0.5,0.5,0,10000,1,60831.2136717,4000
"509",0.01,3,3,0.5,0.5,1,10000,1,60831.2136717,4000
"510",0.01,3,3,0.5,0.5,100,10000,1,60831.2140622,4000
"511",0.01,3,3,0.5,0.5,1000,10000,100,60831.4222654,4000
"512",0.01,3,3,0.5,0.5,1,10000,100,60831.4222656,4000
"513",0.01,3,3,0.5,0.5,100,10000,100,60831.4226562,4000
"514",0.01,3,3,0.5,0.5,0,10000,100,60831.4234374,4000
"515",0.01,3,3,0.5,0.5,10,10000,100,60831.4234374,4000
"516",0.01,3,3,0.5,0.5,0,10000,1000,60832.09375,4000
"517",0.01,3,3,0.5,0.5,1,10000,1000,60832.09375,4000
"518",0.01,3,3,0.5,0.5,10,10000,1000,60832.09375,4000
"519",0.01,3,3,0.5,0.5,100,10000,1000,60832.09375,4000
"520",0.01,3,3,0.5,0.5,1000,10000,1000,60832.09375,4000
"521",0.01,3,3,0.5,0.5,0,10000,10000,60838.9109374,4000
"522",0.01,3,3,0.5,0.5,1,10000,10000,60838.9109374,4000
"523",0.01,3,3,0.5,0.5,10,10000,10000,60838.9109374,4000
"524",0.01,3,3,0.5,0.5,100,10000,10000,60838.9109374,4000
"525",0.01,3,3,0.5,0.5,1000,10000,10000,60838.911328,4000
"526",5,3,3,0.5,0.5,10,1000,10000,267280.8484375,1
"527",5,3,3,0.5,0.5,1000,1000,10000,267280.8484375,1
"528",5,3,3,0.5,0.5,0,1000,10000,267280.85,1
"529",5,3,3,0.5,0.5,1,1000,10000,267280.85,1
"530",5,3,3,0.5,0.5,100,1000,10000,267280.85,1
"531",5,3,3,0.5,0.5,0,1000,1000,267303.125,1
"532",5,3,3,0.5,0.5,1,1000,1000,267303.125,1
"533",5,3,3,0.5,0.5,10,1000,1000,267303.125,1
"534",5,3,3,0.5,0.5,100,1000,1000,267303.125,1
"535",5,3,3,0.5,0.5,1000,1000,1000,267303.125,1
"536",5,3,3,0.5,0.5,0,1000,100,267305.34375,1
"537",5,3,3,0.5,0.5,1,1000,100,267305.34375,1
"538",5,3,3,0.5,0.5,10,1000,100,267305.34375,1
"539",5,3,3,0.5,0.5,100,1000,100,267305.34375,1
"540",5,3,3,0.5,0.5,1000,1000,100,267305.34375,1
"541",5,3,3,0.5,0.5,0,1000,1,267305.5796875,1
"542",5,3,3,0.5,0.5,1,1000,1,267305.5796875,1
"543",5,3,3,0.5,0.5,10,1000,1,267305.5796875,1
"544",5,3,3,0.5,0.5,100,1000,1,267305.5796875,1
"545",5,3,3,0.5,0.5,1000,1000,1,267305.5796875,1
"546",5,3,3,0.5,0.5,0,1000,0,267305.5859375,1
"547",5,3,3,0.5,0.5,1,1000,0,267305.5859375,1
"548",5,3,3,0.5,0.5,10,1000,0,267305.5859375,1
"549",5,3,3,0.5,0.5,100,1000,0,267305.5859375,1
"550",5,3,3,0.5,0.5,1000,1000,0,267305.5859375,1
"551",5,3,3,0.5,0.5,0,1000,0.01,267305.5859375,1
"552",5,3,3,0.5,0.5,1,1000,0.01,267305.5859375,1
"553",5,3,3,0.5,0.5,10,1000,0.01,267305.5859375,1
"554",5,3,3,0.5,0.5,100,1000,0.01,267305.5859375,1
"555",5,3,3,0.5,0.5,1000,1000,0.01,267305.5859375,1
"556",5,3,3,0.5,0.5,0,1000,0.1,267305.5859375,1
"557",5,3,3,0.5,0.5,1,1000,0.1,267305.5859375,1
"558",5,3,3,0.5,0.5,10,1000,0.1,267305.5859375,1
"559",5,3,3,0.5,0.5,100,1000,0.1,267305.5859375,1
"560",5,3,3,0.5,0.5,1000,1000,0.1,267305.5859375,1
"561",5,3,3,0.5,0.5,0,100,10000,640905.59375,1
"562",5,3,3,0.5,0.5,10,100,10000,640905.59375,1
"563",5,3,3,0.5,0.5,1,100,10000,640905.6,1
"564",5,3,3,0.5,0.5,100,100,10000,640905.6,1
"565",5,3,3,0.5,0.5,1000,100,10000,640905.6,1
"566",5,3,3,0.5,0.5,0,100,1000,640948.84375,1
"567",5,3,3,0.5,0.5,100,100,1000,640948.85,1
"568",5,3,3,0.5,0.5,1000,100,1000,640948.85,1
"569",5,3,3,0.5,0.5,1,100,1000,640948.85625,1
"570",5,3,3,0.5,0.5,10,100,1000,640948.85625,1
"571",5,3,3,0.5,0.5,1000,100,100,640953.175,1
"572",5,3,3,0.5,0.5,0,100,100,640953.18125,1
"573",5,3,3,0.5,0.5,1,100,100,640953.18125,1
"574",5,3,3,0.5,0.5,100,100,100,640953.18125,1
"575",5,3,3,0.5,0.5,10,100,100,640953.1875,1
"576",5,3,3,0.5,0.5,0,100,1,640953.64375,1
"577",5,3,3,0.5,0.5,10,100,1,640953.64375,1
"578",5,3,3,0.5,0.5,100,100,1,640953.64375,1
"579",5,3,3,0.5,0.5,1,100,1,640953.65,1
"580",5,3,3,0.5,0.5,1000,100,1,640953.65,1
"581",5,3,3,0.5,0.5,0,100,0,640953.65625,1
"582",5,3,3,0.5,0.5,10,100,0,640953.65625,1
"583",5,3,3,0.5,0.5,100,100,0,640953.65625,1
"584",5,3,3,0.5,0.5,0,100,0.01,640953.65625,1
"585",5,3,3,0.5,0.5,1,100,0.01,640953.65625,1
"586",5,3,3,0.5,0.5,10,100,0.01,640953.65625,1
"587",5,3,3,0.5,0.5,1000,100,0.01,640953.65625,1
"588",5,3,3,0.5,0.5,100,100,0.1,640953.65625,1
"589",5,3,3,0.5,0.5,1000,100,0.1,640953.65625,1
"590",5,3,3,0.5,0.5,1,100,0,640953.6625,1
"591",5,3,3,0.5,0.5,1000,100,0,640953.6625,1
"592",5,3,3,0.5,0.5,100,100,0.01,640953.6625,1
"593",5,3,3,0.5,0.5,0,100,0.1,640953.6625,1
"594",5,3,3,0.5,0.5,1,100,0.1,640953.6625,1
"595",5,3,3,0.5,0.5,10,100,0.1,640953.6625,1
"596",5,3,3,0.5,0.5,0,1,10000,762828.15625,1
"597",5,3,3,0.5,0.5,1,1,10000,762828.15625,1
"598",5,3,3,0.5,0.5,10,1,10000,762828.15625,1
"599",5,3,3,0.5,0.5,100,1,10000,762828.15625,1
"600",5,3,3,0.5,0.5,1000,1,10000,762828.15625,1
"601",5,3,3,0.5,0.5,10,1,1000,763217.66875,1
"602",5,3,3,0.5,0.5,0,1,1000,763217.675,1
"603",5,3,3,0.5,0.5,1,1,1000,763217.675,1
"604",5,3,3,0.5,0.5,100,1,1000,763217.675,1
"605",5,3,3,0.5,0.5,1000,1,1000,763217.675,1
"606",5,3,3,0.5,0.5,0,1,100,763256.6375,1
"607",5,3,3,0.5,0.5,1,1,100,763256.6375,1
"608",5,3,3,0.5,0.5,10,1,100,763256.6375,1
"609",5,3,3,0.5,0.5,100,1,100,763256.6375,1
"610",5,3,3,0.5,0.5,1000,1,100,763256.6375,1
"611",5,3,3,0.5,0.5,0,1,1,763260.93125,1
"612",5,3,3,0.5,0.5,1,1,1,763260.93125,1
"613",5,3,3,0.5,0.5,10,1,1,763260.93125,1
"614",5,3,3,0.5,0.5,100,1,1,763260.93125,1
"615",5,3,3,0.5,0.5,1000,1,1,763260.93125,1
"616",5,3,3,0.5,0.5,0,1,0.1,763260.96875,1
"617",5,3,3,0.5,0.5,1,1,0.1,763260.96875,1
"618",5,3,3,0.5,0.5,10,1,0.1,763260.96875,1
"619",5,3,3,0.5,0.5,100,1,0.1,763260.96875,1
"620",5,3,3,0.5,0.5,1000,1,0.1,763260.96875,1
"621",5,3,3,0.5,0.5,0,1,0,763260.975,1
"622",5,3,3,0.5,0.5,1,1,0,763260.975,1
"623",5,3,3,0.5,0.5,10,1,0,763260.975,1
"624",5,3,3,0.5,0.5,100,1,0,763260.975,1
"625",5,3,3,0.5,0.5,1000,1,0,763260.975,1
"626",5,3,3,0.5,0.5,0,1,0.01,763260.975,1
"627",5,3,3,0.5,0.5,1,1,0.01,763260.975,1
"628",5,3,3,0.5,0.5,10,1,0.01,763260.975,1
"629",5,3,3,0.5,0.5,100,1,0.01,763260.975,1
"630",5,3,3,0.5,0.5,1000,1,0.01,763260.975,1
"631",5,3,3,0.5,0.5,0,0.1,10000,767907.775,1
"632",5,3,3,0.5,0.5,1,0.1,10000,767907.775,1
"633",5,3,3,0.5,0.5,10,0.1,10000,767907.775,1
"634",5,3,3,0.5,0.5,100,0.1,10000,767907.775,1
"635",5,3,3,0.5,0.5,1000,0.1,10000,767907.775,1
"636",5,3,3,0.5,0.5,1000,0.1,1000,768350.4,1
"637",5,3,3,0.5,0.5,0,0.1,1000,768350.40625,1
"638",5,3,3,0.5,0.5,10,0.1,1000,768350.40625,1
"639",5,3,3,0.5,0.5,100,0.1,1000,768350.40625,1
"640",5,3,3,0.5,0.5,1,0.1,1000,768350.4125,1
"641",5,3,3,0.5,0.5,0,0.1,100,768394.68125,1
"642",5,3,3,0.5,0.5,100,0.1,100,768394.68125,1
"643",5,3,3,0.5,0.5,10,0.1,100,768394.6875,1
"644",5,3,3,0.5,0.5,1000,0.1,100,768394.6875,1
"645",5,3,3,0.5,0.5,1,0.1,100,768394.69375,1
"646",5,3,3,0.5,0.5,0,0.1,1,768399.55625,1
"647",5,3,3,0.5,0.5,1,0.1,1,768399.55625,1
"648",5,3,3,0.5,0.5,10,0.1,1,768399.55625,1
"649",5,3,3,0.5,0.5,100,0.1,1,768399.55625,1
"650",5,3,3,0.5,0.5,1000,0.1,1,768399.55625,1
"651",5,3,3,0.5,0.5,1,0.1,0.1,768399.6,1
"652",5,3,3,0.5,0.5,10,0.1,0.1,768399.6,1
"653",5,3,3,0.5,0.5,100,0.1,0.1,768399.6,1
"654",5,3,3,0.5,0.5,1000,0.1,0.1,768399.6,1
"655",5,3,3,0.5,0.5,0,0.1,0,768399.60625,1
"656",5,3,3,0.5,0.5,1,0.1,0.01,768399.60625,1
"657",5,3,3,0.5,0.5,100,0.1,0.01,768399.60625,1
"658",5,3,3,0.5,0.5,1000,0.1,0.01,768399.60625,1
"659",5,3,3,0.5,0.5,0,0.1,0.1,768399.60625,1
"660",5,3,3,0.5,0.5,1,0.1,0,768399.6125,1
"661",5,3,3,0.5,0.5,10,0.1,0,768399.6125,1
"662",5,3,3,0.5,0.5,0,0.1,0.01,768399.6125,1
"663",5,3,3,0.5,0.5,10,0.1,0.01,768399.6125,1
"664",5,3,3,0.5,0.5,100,0.1,0,768399.61875,1
"665",5,3,3,0.5,0.5,1000,0.1,0,768399.61875,1
"666",5,3,3,0.5,0.5,1,0.01,1000,768796.20625,1
"667",5,3,3,0.5,0.5,10,0.01,1000,768796.20625,1
"668",5,3,3,0.5,0.5,0,0.01,1000,768796.2125,1
"669",5,3,3,0.5,0.5,100,0.01,1000,768796.2125,1
"670",5,3,3,0.5,0.5,1000,0.01,1000,768796.225,1
"671",5,3,3,0.5,0.5,1,0.01,100,768840.36875,1
"672",5,3,3,0.5,0.5,0,0.01,100,768840.375,1
"673",5,3,3,0.5,0.5,10,0.01,100,768840.375,1
"674",5,3,3,0.5,0.5,100,0.01,100,768840.375,1
"675",5,3,3,0.5,0.5,1000,0.01,100,768840.38125,1
"676",5,3,3,0.5,0.5,0,0.01,1,768845.25,1
"677",5,3,3,0.5,0.5,1,0.01,1,768845.25,1
"678",5,3,3,0.5,0.5,100,0.01,1,768845.25,1
"679",5,3,3,0.5,0.5,1000,0.01,1,768845.25,1
"680",5,3,3,0.5,0.5,10,0.01,1,768845.26875,1
"681",5,3,3,0.5,0.5,1,0.01,0.01,768845.30625,1
"682",5,3,3,0.5,0.5,0,0.01,0.1,768845.30625,1
"683",5,3,3,0.5,0.5,10,0.01,0,768845.3125,1
"684",5,3,3,0.5,0.5,0,0.01,0.01,768845.3125,1
"685",5,3,3,0.5,0.5,1000,0.01,0.01,768845.3125,1
"686",5,3,3,0.5,0.5,10,0.01,0.1,768845.3125,1
"687",5,3,3,0.5,0.5,1000,0.01,0.1,768845.3125,1
"688",5,3,3,0.5,0.5,0,0.01,0,768845.31875,1
"689",5,3,3,0.5,0.5,1,0.01,0,768845.31875,1
"690",5,3,3,0.5,0.5,100,0.01,0,768845.31875,1
"691",5,3,3,0.5,0.5,10,0.01,0.01,768845.31875,1
"692",5,3,3,0.5,0.5,1,0.01,0.1,768845.31875,1
"693",5,3,3,0.5,0.5,100,0.01,0.1,768845.31875,1
"694",5,3,3,0.5,0.5,1000,0.01,0,768845.325,1
"695",5,3,3,0.5,0.5,100,0.01,0.01,768845.325,1
"696",5,3,3,0.5,0.5,1,0,1000,768929.6125,1
"697",5,3,3,0.5,0.5,10,0,1000,768929.6125,1
"698",5,3,3,0.5,0.5,100,0,1000,768929.6125,1
"699",5,3,3,0.5,0.5,1000,0,1000,768929.6125,1
"700",5,3,3,0.5,0.5,0,0,1000,768929.61875,1
"701",5,3,3,0.5,0.5,0,0,100,768973.85,1
"702",5,3,3,0.5,0.5,1,0,100,768973.85,1
"703",5,3,3,0.5,0.5,10,0,100,768973.85,1
"704",5,3,3,0.5,0.5,1000,0,100,768973.85,1
"705",5,3,3,0.5,0.5,100,0,100,768973.85625,1
"706",5,3,3,0.5,0.5,0,0,1,768978.7125,1
"707",5,3,3,0.5,0.5,1,0,1,768978.7125,1
"708",5,3,3,0.5,0.5,10,0,1,768978.7125,1
"709",5,3,3,0.5,0.5,100,0,1,768978.7125,1
"710",5,3,3,0.5,0.5,1000,0,1,768978.7125,1
"711",5,3,3,0.5,0.5,100,0,0.1,768978.75,1
"712",5,3,3,0.5,0.5,1000,0,0.1,768978.75,1
"713",5,3,3,0.5,0.5,0,0,0,768978.75625,1
"714",5,3,3,0.5,0.5,1,0,0,768978.75625,1
"715",5,3,3,0.5,0.5,10,0,0,768978.75625,1
"716",5,3,3,0.5,0.5,100,0,0,768978.75625,1
"717",5,3,3,0.5,0.5,1000,0,0,768978.75625,1
"718",5,3,3,0.5,0.5,0,0,0.01,768978.75625,1
"719",5,3,3,0.5,0.5,1,0,0.01,768978.75625,1
"720",5,3,3,0.5,0.5,10,0,0.01,768978.75625,1
"721",5,3,3,0.5,0.5,100,0,0.01,768978.75625,1
"722",5,3,3,0.5,0.5,1000,0,0.01,768978.75625,1
"723",5,3,3,0.5,0.5,0,0,0.1,768978.75625,1
"724",5,3,3,0.5,0.5,1,0,0.1,768978.75625,1
"725",5,3,3,0.5,0.5,10,0,0.1,768978.75625,1
"726",5,3,3,0.5,0.5,0,0.01,10000,769657.18125,1
"727",5,3,3,0.5,0.5,1,0.01,10000,769657.18125,1
"728",5,3,3,0.5,0.5,10,0.01,10000,769657.18125,1
"729",5,3,3,0.5,0.5,100,0.01,10000,769657.18125,1
"730",5,3,3,0.5,0.5,1000,0.01,10000,769657.18125,1
"731",5,3,3,0.5,0.5,0,0,10000,769666.25,1
"732",5,3,3,0.5,0.5,1,0,10000,769666.25,1
"733",5,3,3,0.5,0.5,1000,0,10000,769666.25,1
"734",5,3,3,0.5,0.5,10,0,10000,769666.25625,1
"735",5,3,3,0.5,0.5,100,0,10000,769666.2625,1
